sourceIp,destinationIp,frequency
201.214.194.249,0.118.50.186,78
201.214.194.249,141.57.83.83,54
201.214.194.249,255.107.222.151,62
201.214.194.249,61.110.54.95,87
201.214.194.249,54.96.149.247,21
142.56.9.134,0.118.50.186,13
142.56.9.134,141.57.83.83,40
142.56.9.134,255.107.222.151,66
142.56.9.134,61.110.54.95,76
142.56.9.134,54.96.149.247,73
142.214.141.222,0.118.50.186,26
142.214.141.222,141.57.83.83,49
142.214.141.222,255.107.222.151,41
142.214.141.222,61.110.54.95,46
142.214.141.222,54.96.149.247,49
76.229.159.98,0.118.50.186,62
76.229.159.98,141.57.83.83,96
76.229.159.98,255.107.222.151,89
76.229.159.98,61.110.54.95,45
76.229.159.98,54.96.149.247,63
70.81.157.17,0.118.50.186,80
70.81.157.17,141.57.83.83,46
70.81.157.17,255.107.222.151,90
70.81.157.17,61.110.54.95,0
70.81.157.17,54.96.149.247,0
